yaw,pitch,roll
11,-15,3
12,-14,1
10,-13,2
10,-13,2
10,-12,2
10,-13,3
12,-14,2
11,-13,2
11,-13,2
11,-13,2
10,-13,2
10,-13,2
10,-14,3
11,-13,2
11,-13,1
11,-13,1
10,-13,2
12,-13,1
11,-13,2
11,-14,2
10,-13,3
10,-13,3
8,-13,4
8,-13,4
8,-13,4
7,-12,5
8,-12,4
7,-12,4
7,-12,5
7,-12,4
6,-12,5
6,-12,5
6,-12,5
6,-12,5
6,-12,5
5,-12,6
5,-12,7
8,-13,5
7,-12,5
7,-12,4
7,-11,4
8,-12,4
7,-12,5
8,-12,4
8,-12,3
9,-11,2
12,-11,-1
13,-10,-3
13,-8,-5
14,-8,-6
18,-9,-9
19,-8,-11
20,-10,-11
22,-9,-13
22,-9,-14
24,-11,-14
25,-11,-14
25,-11,-15
22,-10,-13
24,-10,-15
23,-11,-13
22,-11,-12
22,-11,-12
22,-10,-12
22,-11,-12
22,-11,-12
23,-11,-12
22,-11,-11
22,-11,-11
23,-11,-12
23,-11,-13
24,-11,-14
24,-11,-14
25,-11,-14
26,-11,-15
26,-12,-15
27,-12,-15
26,-12,-15
27,-13,-15
26,-12,-15
27,-12,-16
27,-12,-16
27,-12,-16
27,-12,-15
26,-12,-14
26,-13,-13
25,-13,-12
25,-13,-12
23,-13,-11
24,-13,-11
24,-13,-11
24,-13,-12
24,-14,-11
25,-13,-12
24,-13,-11
26,-14,-12
26,-15,-11
25,-14,-11
25,-14,-11
24,-14,-11
25,-14,-11
26,-14,-12
26,-15,-12
26,-15,-12
26,-14,-12
24,-14,-11
23,-14,-10
22,-14,-9
24,-14,-10
22,-14,-9
23,-14,-9
22,-14,-9
22,-13,-9
21,-13,-9
20,-13,-7
20,-14,-6
21,-15,-7
21,-16,-6
21,-16,-5
20,-16,-5
20,-16,-4
20,-15,-5
21,-16,-6
21,-15,-6
20,-15,-5
19,-15,-4
18,-14,-5
19,-16,-4
20,-16,-5
20,-16,-5
20,-15,-5
19,-15,-4
19,-15,-5
19,-16,-3
18,-15,-3
19,-15,-4
18,-15,-4
18,-15,-4
18,-15,-4
19,-15,-4
19,-15,-4
19,-15,-5
18,-15,-4
18,-15,-4
19,-15,-5
20,-15,-5
21,-16,-5
20,-15,-5
20,-15,-6
20,-15,-5
20,-15,-6
