Frame,Sous-titres
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,What I like about farming is growing things.
41,What I like about farming is growing things.
42,What I like about farming is growing things.
43,What I like about farming is growing things.
44,What I like about farming is growing things.
45,What I like about farming is growing things.
46,What I like about farming is growing things.
47,What I like about farming is growing things.
48,What I like about farming is growing things.
49,What I like about farming is growing things.
50,What I like about farming is growing things.
51,What I like about farming is growing things.
52,What I like about farming is growing things.
53,What I like about farming is growing things.
54,What I like about farming is growing things.
55,What I like about farming is growing things.
56,What I like about farming is growing things.
57,What I like about farming is growing things.
58,What I like about farming is growing things.
59,What I like about farming is growing things.
60,What I like about farming is growing things.
61,What I like about farming is growing things.
62,What I like about farming is growing things.
63,What I like about farming is growing things.
64,What I like about farming is growing things.
65,What I like about farming is growing things.
66,What I like about farming is growing things.
67,What I like about farming is growing things.
68,What I like about farming is growing things.
69,What I like about farming is growing things.
70,What I like about farming is growing things.
71,What I like about farming is growing things.
72,What I like about farming is growing things.
73,What I like about farming is growing things.
74,What I like about farming is growing things.
75,What I like about farming is growing things.
76,What I like about farming is growing things.
77,What I like about farming is growing things.
78,What I like about farming is growing things.
79,What I like about farming is growing things.
80,What I like about farming is growing things.
81,What I like about farming is growing things.
82,What I like about farming is growing things.
83,What I like about farming is growing things.
84,What I like about farming is growing things.
85,What I like about farming is growing things.
86,What I like about farming is growing things.
87,What I like about farming is growing things.
88,What I like about farming is growing things.
89,What I like about farming is growing things.
90,What I like about farming is growing things.
91,What I like about farming is growing things.
92,What I like about farming is growing things.
93,What I like about farming is growing things.
94,What I like about farming is growing things.
95,What I like about farming is growing things.
96,What I like about farming is growing things.
97,What I like about farming is growing things.
98,What I like about farming is growing things.
99,What I like about farming is growing things.
100,What I like about farming is growing things.
101,What I like about farming is growing things.
102,What I like about farming is growing things.
103,What I like about farming is growing things.
104,What I like about farming is growing things.
105,What I like about farming is growing things.
106,What I like about farming is growing things.
107,What I like about farming is growing things.
108,What I like about farming is growing things.
109,What I like about farming is growing things.
110,What I like about farming is growing things.
111,What I like about farming is growing things.
112,What I like about farming is growing things.
113,What I like about farming is growing things.
114,What I like about farming is growing things.
115,What I like about farming is growing things.
116,What I like about farming is growing things.
117,What I like about farming is growing things.
118,What I like about farming is growing things.
119,What I like about farming is growing things.
120,What I like about farming is growing things.
121,What I like about farming is growing things.
122,What I like about farming is growing things.
123,What I like about farming is growing things.
124,What I like about farming is growing things.
125,What I like about farming is growing things.
126,What I like about farming is growing things.
127,What I like about farming is growing things.
128,What I like about farming is growing things.
129,What I like about farming is growing things.
130,What I like about farming is growing things.
131,What I like about farming is growing things.
132,What I like about farming is growing things.
