61_x,61_y,291_x,291_y,61_291_distance
491,489,621,486,130.034610777285
484,490,623,486,139.05754204644924
486,491,622,486,136.09188072769072
482,490,623,486,141.05672617780408
486,490,620,486,134.05968819895114
488,489,619,485,131.06105447462264
488,489,621,484,133.09395177843356
489,489,622,484,133.09395177843356
489,488,624,484,135.05924625881784
489,487,624,483,135.05924625881784
489,486,624,483,135.03332921912278
489,487,623,483,134.05968819895114
489,488,622,483,133.09395177843356
487,490,620,486,133.06013678032951
488,492,618,487,130.09611831257686
489,492,618,488,129.0620006043607
488,491,618,487,130.06152390311286
488,490,617,487,129.0348790056394
489,491,615,487,126.0634760745554
488,491,613,488,125.03599481749245
490,488,611,485,121.03718436910205
487,489,610,485,123.06502346320826
489,489,609,485,120.06664815842908
486,488,605,484,119.06720791217035
482,485,606,481,124.06449935416659
483,483,603,478,120.10412149464314
484,481,604,477,120.06664815842908
484,481,604,477,120.06664815842908
486,481,605,478,119.03780911962384
485,483,604,478,119.10499569707393
483,483,603,479,120.06664815842908
480,483,604,479,124.06449935416659
477,483,608,478,131.0953851209111
479,482,607,478,128.06248474865697
479,480,610,475,131.0953851209111
482,476,610,472,128.06248474865697
478,480,611,474,133.13526955694348
476,481,616,475,140.12851244482687
474,478,615,473,141.088624630053
482,472,610,470,128.01562404644207
485,473,606,469,121.06609764917675
486,471,608,469,122.01639234135715
487,469,608,467,121.01652779682617
484,468,605,466,121.01652779682617
485,468,604,467,119.00420160649792
485,467,606,466,121.00413216084813
477,469,614,469,137.0
471,471,617,469,146.01369798755184
473,468,615,468,142.0
472,466,616,468,144.01388821915754
473,463,621,467,148.05404418657398
475,459,621,466,146.16771189288008
482,458,617,462,135.05924625881784
489,459,615,465,126.14277624977183
488,462,619,466,131.06105447462264
484,463,627,471,143.22360140703069
486,464,630,472,144.22205101855957
486,462,631,472,145.34441853748632
490,461,627,470,137.2953021774598
490,461,627,469,137.23337786413333
496,463,625,471,129.24782396620841
501,466,625,475,124.32618388738553
499,469,628,476,129.18978287774928
498,468,629,474,131.13733259449805
497,469,630,475,133.13526955694348
496,470,627,477,131.18688958886096
493,474,625,480,132.13629327327143
488,476,623,482,135.1332675546625
488,476,621,481,133.09395177843356
486,475,619,481,133.13526955694348
484,474,617,482,133.24038426843418
483,474,618,483,135.29966740535616
484,473,617,482,133.30416347586447
483,473,619,483,136.36715146984628
483,472,622,484,139.51702405083043
485,472,623,485,138.61096637712328
485,473,625,485,140.51334456200237
484,472,625,485,141.59802258506295
485,473,625,485,140.51334456200237
484,471,627,483,143.50261321662404
