Frame,BPM,BPM_filtre
0,6,
1,6,
2,6,
3,6,
4,6,
5,6,
6,6,
7,6,
8,6,
9,6,
10,6,
11,6,
12,6,
13,6,
14,6,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
25,16,
26,16,
27,16,
28,16,
29,16,
30,24,
31,24,
32,24,
33,24,
34,24,
35,24,
36,24,
37,24,
38,24,
39,24,
40,24,
41,24,
42,24,
43,24,
44,24,
45,33,
46,33,
47,33,
48,33,
49,33,
50,33,
51,33,
52,33,
53,33,
54,33,
55,33,
56,33,
57,33,
58,33,
59,33,
60,40,
61,40,
62,40,
63,40,
64,40,
65,40,
66,40,
67,40,
68,40,
69,40,
70,40,
71,40,
72,40,
73,40,
74,40,
75,46,
76,46,
77,46,
78,46,
79,46,
80,46,
81,46,
82,46,
83,46,
84,46,
85,46,
86,46,
87,46,
88,46,
89,46,
90,56,
91,56,
92,56,
93,56,
94,56,
95,56,
96,56,
97,56,
98,56,
99,56,
100,56,
101,56,
102,56,
103,56,
104,56,
105,63,
106,63,
107,63,
108,63,
109,63,
110,63,
111,63,
112,63,
113,63,
114,63,
115,63,
116,63,
117,63,
118,63,
119,63,
120,70,
121,70,
122,70,
123,70,
124,70,
125,70,
126,70,
127,70,
128,70,
129,70,
130,70,
131,70,
132,70,
133,70,
134,70,
135,76,
136,76,
137,76,
138,76,
139,76,
140,76,
141,76,
142,76,
143,76,
144,76,
145,76,
146,76,
147,76,
148,76,
149,76,
150,77,
151,77,
152,77,
153,77,
154,77,
155,77,
156,77,
157,77,
158,77,
159,77,
160,77,
161,77,
162,77,
163,77,
164,77,
165,79,
166,79,
167,79,
168,79,
169,79,
170,79,
171,79,
172,79,
173,79,
174,79,
175,79,
176,79,
177,79,
178,79,
179,79,
180,79,
181,79,
182,79,
183,79,
184,79,
185,79,
186,79,
187,79,
188,79,
189,79,
190,79,
191,79,
192,79,
193,79,
194,79,
195,79,
196,79,
197,79,
198,79,
199,79,
200,79,
201,79,
202,79,
203,79,
204,79,
205,79,
206,79,
207,79,
208,79,
209,79,
210,81,
211,81,
212,81,
213,81,
214,81,
215,81,
216,81,
217,81,
218,81,
219,81,
220,81,
221,81,
222,81,
223,81,
224,81,
225,84,
226,84,
227,84,
228,84,
229,84,
230,84,
231,84,
232,84,
233,84,
234,84,
235,84,
236,84,
237,84,
238,84,
239,84,
240,83,
241,83,
242,83,
243,83,
244,83,
245,83,
246,83,
247,83,
248,83,
249,83,
250,83,
251,83,
252,83,
253,83,
254,83,
255,84,
256,84,
257,84,
258,84,
259,84,
260,84,
261,84,
262,84,
263,84,
264,84,
265,84,
266,84,
267,84,
268,84,
269,84,
270,84,
271,84,
272,84,
273,84,
274,84,
275,84,
276,84,
277,84,
278,84,
279,84,
280,84,
281,84,
282,84,
283,84,
284,84,
285,84,
286,84,
287,84,
288,84,
289,84,
290,84,
291,84,
292,84,
293,84,
294,84,
295,84,
296,84,
297,84,
298,84,
299,84,
300,83,
301,83,
302,83,
303,83,
304,83,
305,83,
306,83,
307,83,
308,83,
309,83,
310,83,
311,83,
312,83,
313,83,
314,83,
315,83,
316,83,
317,83,
318,83,
319,83,
320,83,
321,83,
322,83,
323,83,
324,83,
325,83,
326,83,
327,83,
328,83,
329,83,
330,86,
331,86,
332,86,
333,86,
334,86,
335,86,
336,86,
337,86,
338,86,
339,86,
340,86,
341,86,
342,86,
343,86,
344,86,
345,84,
346,84,
347,84,
348,84,
349,84,
350,84,
351,84,
352,84,
353,84,
354,84,
355,84,
356,84,
357,84,
358,84,
359,84,
360,87,
361,87,
362,87,
363,87,
364,87,
365,87,
366,87,
367,87,
368,87,
369,87,
370,87,
371,87,
372,87,
373,87,
374,87,
375,84,
376,84,
377,84,
378,84,
379,84,
380,84,
381,84,
382,84,
383,84,
384,84,
385,84,
386,84,
387,84,
388,84,
389,84,
390,88,
391,88,
392,88,
393,88,
394,88,
395,88,
396,88,
397,88,
398,88,
399,88,
400,88,
401,88,
402,88,
403,88,
404,88,
405,91,
406,91,
407,91,
408,91,
409,91,
410,91,
411,91,
412,91,
413,91,
414,91,
415,91,
416,91,
417,91,
418,91,
419,91,
420,96,
421,96,
422,96,
423,96,
424,96,
425,96,
426,96,
427,96,
428,96,
429,96,
430,96,
431,96,
432,96,
433,96,
434,96,
435,99,
436,99,
437,99,
438,99,
439,99,
440,99,
441,99,
442,99,
443,99,
444,99,
445,99,
446,99,
447,99,
448,99,
449,99,
450,101,
451,101,
452,101,
453,101,
454,101,
455,101,
456,101,
457,101,
458,101,
459,101,
460,101,
461,101,
462,101,
463,101,
464,101,
465,99,
466,99,
467,99,
468,99,
469,99,
470,99,
471,99,
472,99,
473,99,
474,99,
475,99,
476,99,
477,99,
478,99,
479,99,
480,97,
481,97,
482,97,
483,97,
484,97,
485,97,
486,97,
487,97,
488,97,
489,97,
490,97,
491,97,
492,97,
493,97,
494,97,
495,101,
496,101,
497,101,
498,101,
499,101,
500,101,
501,101,
502,101,
503,101,
504,101,
505,101,
506,101,
507,101,
508,101,
509,101,
510,100,
511,100,
512,100,
513,100,
514,100,
515,100,
516,100,
517,100,
518,100,
519,100,
520,100,
521,100,
522,100,
523,100,
524,100,
525,103,
526,103,
527,103,
528,103,
529,103,
530,103,
531,103,
532,103,
533,103,
534,103,
535,103,
536,103,
537,103,
538,103,
539,103,
540,100,
541,100,
542,100,
